B00,King's Pawn Opening; B00,e2e4,
A28,"Flexible Line, English",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 d2d3,
A28,"Bradley Beach Variation, English",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 d2d4 e5e4,
A28,"Four Knights Variation, English",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 d2d4 e5d4 f3d4 f8b4 c1g5 h7h6 g5h4 b4c3 b2c3 c6e5,
A28,"Quiet Line, English",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e3,
A28,"Romanishin Variation, English",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e3 f8b4 d1c2 b4c3,
A28,"Keene; Stean Variation, English",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e3 f8b4 d1c2 e8g8 c3d5 f8e8 c2f5,
A28,"Botvinnik Line, English",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e4,
A29,"Fianchetto Line, Four Knights English; A29",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 g2g3,
A22,"Two Knights Variation, English; A22",c2c4 e7e5 b1c3 g8f6,
A22,"Mazedonisch Variation, English",c2c4 e7e5 b1c3 g8f6 f2f4,
A22,"Bremen; Carls Variation, English",c2c4 e7e5 b1c3 g8f6 g2g3,
A22,"Kapengut; Smyslov; Modern V, English",c2c4 e7e5 b1c3 g8f6 g2g3 f8b4,
A23,"Keres Variation, English; A23",c2c4 e7e5 b1c3 g8f6 g2g3 c7c6,
A23,"Reversed Dragon, English",c2c4 e7e5 b1c3 g8f6 g2g3 d7d5,
A24,"Fianchetto Lines, Two Knights Variation, English; A24",c2c4 e7e5 b1c3 g8f6 g2g3 g7g6,
A24,"Prickly Pawn Pass System, English",c2c4 e7e5 b1c3 g8f6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 e2e4 e8g8 g1e2 c7c6 e1g1 a7a6,
A22,"Bellon Gambit, English",c2c4 e7e5 b1c3 g8f6 g1f3 e5e4 f3g5 b7b5,
A22,"Erbenheimer Gambit, English",c2c4 e7e5 b1c3 g8f6 g1f3 e5e4 f3g5 f6g4,
A20,"Nimzovich Variation, English",c2c4 e7e5 g1f3,
A20,"Nimzovich-Flohr Variation, English",c2c4 e7e5 g1f3 e5e4,
A20,English Queen,c2c4 e7e5 d1a4,
A13,"Agincourt; Kurajica Defense, English; A13",c2c4 e7e6,
A13,English Defense,c2c4 e7e6 d2d4 b7b6,
A13,"King's Knight Variation, English",c2c4 e7e6 g1f3 d7d5,
A13,"Wimpy System, English",c2c4 e7e6 g1f3 d7d5 b2b3 g8f6 c1b2 c7c5 e2e3,
A13,"Afincourt Variation, English",c2c4 e7e6 g1f3 d7d5 g2g3,
A13,"Kurajica Defense, English",c2c4 e7e6 g1f3 d7d5 g2g3 c7c6,
A13,"Neo Catalan, English",c2c4 e7e6 g1f3 d7d5 g2g3 g8f6,
A14,A14,c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7,
A14,"Neo Catalan Declined, English",c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1,
A14,"Keres Defense, English",c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1 c7c5 c4d5 f6d5 b1c3 b8c6,
A13,"Neo Catalan Accepted, English",c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 d5c4,
A13,"Romanishin Gambit, English",c2c4 e7e6 g1f3 g8f6 g2g3 a7a6 f1g2 b7b5,
A10,Anglo-Dutch Defense,c2c4 f7f5,
A10,Anglo-Polish Dutch,c2c4 f7f5 b2b4,
A10,"Hickmann Gambit, English",c2c4 f7f5 e2e4,
A10,"Hickmann Gambit, English",c2c4 f7f5 e2e4 f5e4 d2d3,
A10,"Porcupine Variation, English",c2c4 f7f5 e2e4 f5e4 b1c3 g8f6 g2g4,
A10,"Wade Gambit, English",c2c4 f7f5 g2g4,
A10,English Spike,c2c4 f7f5 g2g4,
A10,"Chabanon Gambit, English",c2c4 f7f5 g1f3 d7d6 e2e4,
A10,"Myers Defense, English",c2c4 g7g5 d2d4 f8g7,
A10,"Zilbermints Gambit, English",c2c4 g7g5 d2d4 e7e5,
A10,"Great Snake, English",c2c4 g7g6,
A10,"Adorjan System, English",c2c4 g7g6 e2e4 e7e5,
A10,Beefeater,c2c4 g7g6 b1c3 f8g7 d2d4 c7c5 d4d5 g7c3 b2c3 f7f5,
A10,"Anglo-Lithuanian Variation, English",c2c4 b8c6,
A15,"Anglo System, English; A15",c2c4 g8f6,
A15,"Mikenas-Carls Variation, English",c2c4 g8f6,
A15,English Orangutan,c2c4 g8f6 b2b4,
A15,Shirazi Shove,c2c4 g8f6 g2g3 h7h5,
A16,A16,c2c4 g8f6 b1c3,
A16,"Golombek Defense, English; Anti English",c2c4 g8f6 b1c3 d7d5,
A16,"Czech Variation, English",c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5b6,
A17,"Smyslov Defense, English",c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5c3,
A16,"Korchnoi's Variation, English",c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3 g7g6 g2g3 f8g7 f1g2 e7e5,
A16,"Stein Attack, English",c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g1f3 g7g6 d1a4,
A17,"Hegehog System, Anglo-Indian English; A17",c2c4 g8f6 b1c3 e7e6,
A18,"Flohr-Mikenas-Carls Variation, English; A18",c2c4 g8f6 b1c3 e7e6 e2e4,
A19,"Floh-Mikenas-Carls Variation, English; A19",c2c4 g8f6 b1c3 e7e6 e2e4 c7c5,
A19,"Nei Gambit, English",c2c4 g8f6 b1c3 e7e6 e2e4 c7c5 e4e5 f6g8,
A18,"Kevitz Defense, English",c2c4 g8f6 b1c3 e7e6 e2e4 b8c6,
A18,"Queen's Indian Formation, English",c2c4 g8f6 b1c3 e7e6 g1f3 b7b6,
A17,Nimzo-English Opening,c2c4 g8f6 b1c3 e7e6 g1f3 f8b4,
A17,"Zviagintsev-Krasenkov Attack, English",c2c4 g8f6 b1c3 e7e6 g1f3 f8b4 g2g4,
A16,Anti-anti-grunfeld,c2c4 g8f6 b1c3 g7g6 g1f3 f8g7 e2e4,
A15,"King's Knight Variation, English",c2c4 g8f6 g1f3,
A15,"Romanishin Variation, English",c2c4 g8f6 g1f3 e7e6 g2g3 a7a6,
A00,Mieses; Valencia; Venezuelan Opening,d2d3,
A00,Venezolana,d2d3 c7c5 b1c3 b8c6 g2g3,
A00,Reversed Rat,d2d3 e7e5,
A00,Spike Deferred; Myers Spike Attack,d2d3 g7g6 g2g4,
A40,Queen Pawn Opening; A40,d2d4,
A40,St George's Gambit,d2d4 a7a6 c2c4 b7b5 e2e4 e7e6 c4b5 a6b5,
A40,Polish Defense,d2d4 b7b5,
A40,"Spassky Gambit, Polish Defense",d2d4 b7b5 e2e4 c8b7 f1b5,
A40,"Queen Fianchetto, Queen Pawn Game",d2d4 b7b6,
A40,Eastbourne Gambit,d2d4 b7b6 c2c4 c8b7,
A43,Staunton Defense; Benoni C-G; A43,d2d4 c7c5,
A43,"Zilbermints Gambit; Nakamura Gambit, Benoni",d2d4 c7c5 b2b4 c5b4,
A43,Old Benoni,d2d4 c7c5 d4d5 d7d6,
A43,"Schmid Variation, Benoni",d2d4 c7c5 d4d5 d7d6 b1c3 g7g6,
A44,"Pawn Thrust, Benoni; A44",d2d4 c7c5 d4d5 e7e5,
A44,Blockade Variation; Semi-Benoni; Russian Variation,d2d4 c7c5 d4d5 e7e5 e2e4 d7d6,
A43,Franco-Benoni; Franco-Sicilian,d2d4 c7c5 d4d5 e7e6 e2e4,
A43,"Clarendon Court Variation, Benoni",d2d4 c7c5 d4d5 f7f5,
A43,Benoni-Staunton Gambit,d2d4 c7c5 d4d5 f7f5 e2e4,
A43,"Snail Variation, Benoni",d2d4 c7c5 d4d5 b8a6,
A43,Benoni-Indian Defense,d2d4 c7c5 d4d5 g8f6,
A56,"Vulture Defense, Benoni",d2d4 c7c5 d4d5 g8f6 c2c4 f6e4,
A43,"Woozle Defense, Benoni",d2d4 c7c5 d4d5 g8f6 b1c3 d8a5,
A43,"Kingside move order, Benoni",d2d4 c7c5 d4d5 g8f6 g1f3,
A43,"Habichd; Hawk Variation, Benoni",d2d4 c7c5 d4d5 g8f6 g1f3 c5c4,
A43,Benoni Gambit Accepted,d2d4 c7c5 d4c5,
A43,"Cormorant Gambit, Benoni",d2d4 c7c5 d4c5 b7b6,
A43,"Schlenker Defense, Benoni",d2d4 c7c5 d4c5 b8a6,
A43,Zilbermints-Benoni Gambit,d2d4 c7c5 g1f3 c5d4 b2b4,
A43,"Tamarkin Countergambit, Benoni",d2d4 c7c5 g1f3 c5d4 b2b4 e7e5,
A41,Anglo-Slav Opening,d2d4 c7c6 c2c4 d7d6,
D00,Queen Pawn Game; Close Opening; D00,d2d4 d7d5,
D00,Sarratt Attack,d2d4 d7d5 c1f4,
D00,"Steinitz Countergambit, Queen Pawn Game",d2d4 d7d5 c1f4 c7c5,
D00,Morris Gambit,d2d4 d7d5 c1f4 c7c5 e2e4,
D00,Morris Counter-Gambit,d2d4 d7d5 c1f4 c7c5 e2e4 d5e4,
D00,"Bishop Attack; Levitsky Attack, Queen Pawn Game",d2d4 d7d5 c1g5,
D00,Zot,d2d4 d7d5 c1g5,
D00,"Welling Variation, Queen Pawn Game",d2d4 d7d5 c1g5 c8g4,
D00,"Euwe Variation, Queen Pawn Game",d2d4 d7d5 c1g5 h7h6 g5h4 c7c6 g1f3 d8b6,
D06,Queen's Gambit; Aleppo Gambit; D06,d2d4 d7d5 c2c4,
D06,"Zilbermints Gambit, QGD",d2d4 d7d5 c2c4 b7b5,
D06,"Brieger Defense; Sahovic Defense, QGD; Baltic Defense",d2d4 d7d5 c2c4 c8f5,
D31,"Baltic Defense, QGD",d2d4 d7d5 c2c4 c8f5 c4d5 f5b1 d1a4 c7c6 d5c6 b8c6,
D31,"Argentinian Gambit, QGD",d2d4 d7d5 c2c4 c8f5 c4d5 f5b1 d1a4 c7c6 d5c6 b8c6 a1b1 d8d4,
D06,"Pseudo-Slav, QGD",d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 g1f3 c7c6,
D06,"Pseudo-Chigorin, QGD",d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 g1f3 b8c6,
D06,"Queen Attack, Baltic Defens, QGD",d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 d1b3,
D06,"Austrian Defense; Summetrical Defense, QGD",d2d4 d7d5 c2c4 c7c5,
D06,"Gusev Countergambit, QGD",d2d4 d7d5 c2c4 c7c5 c4d5 g8f6,
D06,"Haberditz Variation, QGD",d2d4 d7d5 c2c4 c7c5 c4d5 g8f6 e2e4 f6e4 d4c5 d8a5,
D06,"Salvio Countergambit, QGD",d2d4 d7d5 c2c4 c7c5 d4c5 d5d4,
D10,"Slav Defense; Czech Defense, QGD; D10",d2d4 d7d5 c2c4 c7c6,
D10,"Exchange Variation, Slav",d2d4 d7d5 c2c4 c7c6 c4d5,
D10,Slav Pawn Game,d2d4 d7d5 c2c4 c7c6 e2e3,
D10,"Diemer Gambit, Slav",d2d4 d7d5 c2c4 c7c6 e2e4,
D10,"Alekhine Attack, Slav",d2d4 d7d5 c2c4 c7c6 b1c3 d5c4 e2e4,
D10,"Winawer Counter Gambit, Slav",d2d4 d7d5 c2c4 c7c6 b1c3 e7e5,
D10,"Anti-Winawer Gambit, Slav",d2d4 d7d5 c2c4 c7c6 b1c3 e7e5 e2e4,
D11,"Modern Line, Slav; D11",d2d4 d7d5 c2c4 c7c6 g1f3,
D11,Slav Bishop's Game,d2d4 d7d5 c2c4 c7c6 g1f3 c8f5,
D11,"Bonet Gambit, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c1g5,
D13,"Exchange Variation, Slav; D13",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5,
