B00,King's Pawn Opening; B00,e2e4,
B56,"Classical Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6,
B57,"Sozin; Velimirovic Attack, Sicilian; B57",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1c4,
B57,"Anti-Sozin Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1c4 d8b6,
B56,"Yates Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1d3,
B58,B58,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2,
B58,"Boleslavsky Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 e7e5,
B59,B59,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 e7e5 d4b3,
B58,"Louma Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 e7e5 d4c6,
B60,"Richter-Rauzer Variation, Sicilian; B60",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5,
B62,B62,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6,
B62,"Margate (Vitolins) Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 f1b5,
B62,"Podebrady Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d4b3,
B62,"Exchange Variation, Richter-Rauzer Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d4c6,
B63,"Rauzer Variation, Sicilian; B63",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2,
B66,B66,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6,
B67,B67,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7,
B68,B68,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 f8e7,
B69,B69,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 f8e7 d4f3 b7b5 g5f6,
B64,B64,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 f2f4,
B65,B65,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 f2f4 c6d4 d2d4,
B63,"Ivanov Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 d8b6,
B60,"Dragon Variation, Richter-Rauzer Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 g7g6,
B58,"Fianchetto Variation, Richter-Rauzer Sicilizn",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 g2g3,
B56,"Spielmann Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4e2,
B61,B61,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d1d2,
B53,"Chekhover Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4,
B53,"Zaitsev Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 b8c6 f1b5 d8d7,
B53,"Lazy Knight Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 b8d7,
B53,"Cortlever Variation, Sicilian",e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 d4c5 f6e4 c5d6,
B50,"Kotov Gambit, Sicilian",e2e4 c7c5 g1f3 d7d6 g2g3 b7b5,
B27,"Jalalabad Variation, Sicilian",e2e4 c7c5 g1f3 e7e5,
B40,"French Variation, Sicilian; B40",e2e4 c7c5 g1f3 e7e6,
B40,"Wing Gambit Deferred, Sicilian",e2e4 c7c5 g1f3 e7e6 b2b4,
B40,"Kramnik Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 c2c4,
B41,B41,e2e4 c7c5 g1f3 e7e6 d2d4,
B41,"Accelerated Wimpy Variation, Sic",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4,
B41,"Paulsen; Kan Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6,
B42,B42,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3,
B42,"Polugaevsky Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 f8c5,
B42,"Swiss Cheese Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 g7g6,
B41,"Reti Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4,
B41,"Hedgehog Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g7g6,
B41,"Bronstein Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 f8b4 f1d3 b8c6,
B43,B43,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 b1c3,
B44,"Taimanov; Bastrikov, Paulsen Variation, Sicilian; B44",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6,
B44,"Szen Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 d4b5,
B44,"Gary Gambit, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 d4b5 d7d6 c2c4 g8f6 b1c3 a7a6 b5a3 d6d5,
B45,B45,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3,
B46,B46,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6,
B46,"Taimanov Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 f1e2 g8e7,
B45,"Paulsen Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 g8f6 d4b5 f8b4,
B45,"American Attack, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 g8f6 d4b5 f8b4 b5d6,
B47,"Bastrikov Variation, Sicilian; B47",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7,
B48,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3,
B49,B49,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 f1e2,
B47,"Ponomariov Gambit, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 d4b5 c7b8 c1e3 a7a6 e3b6,
B41,"Anderssen; Counterattack Var, Sic",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6,
B41,Pin Variation; Sicilian CounterAttack,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 f8b4,
B41,"Jaffe Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 f8b4 f1d3 e6e5,
B41,"Koch Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 f8b4 e4e5,
B45,"Four Knights Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6,
B45,"Cobra Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 f8c5,
B40,"Gaw-Paw Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d8b6,
B40,"Kveinis Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 d8b6,
B41,"Marshall Variation, Sicilian",e2e4 c7c5 g1f3 e7e6 d2d4 d7d5,
B27,"Brussels Gambit, Sicilian",e2e4 c7c5 g1f3 f7f5,
B27,"Double-Dutch Gambit, Sicilian",e2e4 c7c5 g1f3 f7f5 e4f5 g8h6,
B27,"Hyperaccelerated Dragon, Sicilian",e2e4 c7c5 g1f3 g7g6,
B27,"Action Extension, Sicilian",e2e4 c7c5 g1f3 g7g6 c2c4 f8h6,
B27,"Hyperaccelerated Pterodactyl, Sic",e2e4 c7c5 g1f3 g7g6 d2d4 f8g7,
B27,"Frederico Variation, Sicilian",e2e4 c7c5 g1f3 g7g6 d2d4 f7f5,
B27,Sicilian Fred,e2e4 c7c5 g1f3 g7g6 d2d4 f7f5,
B27,"Buecker Variation, Sicilian",e2e4 c7c5 g1f3 h7h6,
B30,Old Sicilian,e2e4 c7c5 g1f3 b8c6,
B30,"Rossolimo (Nezmetdinov) Variation, Sicilian; B30",e2e4 c7c5 g1f3 b8c6 f1b5,
B31,B31,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6,
B31,"Gufeld Gambit, Sicilian",e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 c2c3 e7e5 d2d4,
B31,"Lutikov Gambit, Sicilian",e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 c2c3 g8f6 d2d4,
B31,"Gurgenidze Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 f1e1 e7e5 b2b4,
B31,"San Francisco Gambit, Sicilian",e2e4 c7c5 g1f3 b8c6 f1b5 c6a5 b2b4,
B32,B32,e2e4 c7c5 g1f3 b8c6 d2d4,
B32,"Nimzovich Variation, Sicilian; Nimzo-American Variation",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d7d5,
B32,"Bourdonnais; Lowenthal Var, Sic",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5,
B32,"Kalashnikov Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6,
B34,Accelerated Dragon; Fianchetto Var; B34,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6,
B36,"Maroczy Bind, Sicilian; B36",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4,
B37,B37,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 f8g7,
B38,B38,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 f8g7 c1e3,
B39,"Breyer Variation, Sicilian; B39",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 f8g7 c1e3 g8f6 b1c3 f6g4,
B36,"Gurgenidze Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 g8f6 b1c3 c6d4 d1d4 d7d6,
B35,B35,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 b1c3 f8g7 c1e3 g8f6 f1c4,
B33,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6,
B33,"Four Knights Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3,
B33,"Lasker-Pelikan Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5,
B33,"Pelikan Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6,
B33,"Chelyabinsk Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5,
B33,"Sveshnikov Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5,
B33,"Bird Variation, Siclian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 c8e6,
B32,"Retreat Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4f3,
B32,"Godiva Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8b6,
B32,"Flohr Variation, Sicilian",e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8c7,
B29,"Nimzovich; Rubinstein Var, Sicilian; B29",e2e4 c7c5 g1f3 g8f6,
B29,"Advance Variation, Sicilian",e2e4 c7c5 g1f3 g8f6 e4e5,
B27,"Mongoose Variation, Sicilian",e2e4 c7c5 g1f3 d8a5,
B27,"Althouse; Stiletto Variation, Sicilian",e2e4 c7c5 g1f3 d8a5,
B27,"Accelerated Paulsen, Sicilian",e2e4 c7c5 g1f3 d8c7,
B27,"Quinteros Variation, Sicilian",e2e4 c7c5 g1f3 d8c7,
B20,"Brick Variation, Sicilian",e2e4 c7c5 g1h3,
B10,Caro-Kann Defense; B10,e2e4 c7c6,
B10,"Hillbilly Attack, Caro-Kann",e2e4 c7c6 f1c4,
B10,"Modern; English Variation, Accelerated Panov; Caro-Kann",e2e4 c7c6 c2c4,
B10,"Breyer Variation, Caro-Kann",e2e4 c7c6 d2d3,
B10,"Stein Attack, Caro-Kann",e2e4 c7c6 d2d3 d7d5 b1d2 g7g6 g2g3 f8g7 f1g2 e7e5 g1f3 g8e7 e1g1 e8g8 b2b4,
B12,B12,e2e4 c7c6 d2d4,
B12,"Landau Gambit, Caro-Kann",e2e4 c7c6 d2d4 d7d5 f1d3 g8f6 e4e5 f6d7 e5e6,
B12,"Mieses Gambit, Caro",e2e4 c7c6 d2d4 d7d5 c1e3,
B12,"Diemer-Duhm Gambit, Caro",e2e4 c7c6 d2d4 d7d5 c2c4,
B12,"Advance Variation, Caro",e2e4 c7c6 d2d4 d7d5 e4e5,
B12,"Prins Attack, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 b2b4,
B12,"Bayonet Variation, Caro",e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g2g4,
B12,"Tal Variation, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 h2h4,
B12,"Van der Wiel Attack, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 b1c3,
B12,"Dreyev Defense, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 b1c3 d8b6,
B12,"Bronstein Variation, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1e2,
B12,"Short Variation, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3,
B12,"Botvinnik-Carls Defense, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4e5 c6c5,
B13,"Exchange Variation, Caro; B13",e2e4 c7c6 d2d4 d7d5 e4d5,
B13,Panov-Botvinnik; Gunderam Attack,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4,
B14,B14,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3,
B14,"Carlsbad Line, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 c1g5 e7e6,
B14,"Czerniak Line, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 c1g5 d8a5,
B14,"Reifir-Spielmann Line, Caro-Kann",e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 c1g5 d8b6,
B12,"Maroczy Variation, Caro",e2e4 c7c6 d2d4 d7d5 f2f3,
B12,"Fantasy; Lilienfisch Variation, Caro",e2e4 c7c6 d2d4 d7d5 f2f3,
B12,"Maroczy Gambit, Caro-Kann",e2e4 c7c6 d2d4 d7d5 f2f3 d5e4 f3e4 e7e5 g1f3 e5d4 f1c4,
B15,B15,e2e4 c7c6 d2d4 d7d5 b1c3,
B15,"Gurgenidze Variation, Caro",e2e4 c7c6 d2d4 d7d5 b1c3 b7b5,
B15,"Von Hennig Gambit, Caro",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 f1c4,
B15,"Milner-Barry Gambit, Caro; Rasa-Studier Gambit",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 f2f3,
B18,"Classical Variation, Caro; B18",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5,
B19,B19,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3,
B18,"Flohr Variation, Caro-Kann",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1h3,
B16,"Finnish Variation, Caro-Kann",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 h7h6,
B17,"Karpov Variation, Caro-Kann; B17",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7,
B17,"Smyslov Variation, Caro-Kann",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 f1c4 g8f6 e4g5 e7e6 d1e2 d7b6,
B17,"Tiviakov-Fischer Attack, Caro-Kann",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 f1c4 g8f6 e4f6 d7f6,
B17,"Kasparov Attack, Caro-Kann",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 g1f3 g8f6 e4g3,
B17,"Ivanchuk Defense, Caro Kann",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 e4g5 d7f6,
B15,"Knight Variation, Caro",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6,
B15,"Tarrasch (Alekhine) Gambit, Caro",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 f1d3,
B15,"Tartakower Variation, Caro",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 e7f6,
B15,"Forgacs Variation, Caro Kann",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 e7f6 f1c4,
B16,"Nimzovich; Bronstein-Larsen, Caro; B16",e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 g7f6,
B15,"Gurgenidze System, Caro-Kann",e2e4 c7c6 d2d4 d7d5 b1c3 g7g6,
B15,"Gurgenidze Variation, Caro",e2e4 c7c6 d2d4 d7d5 b1c3 g7g6 e4e5 f8g7 f2f4 h7h5,
B15,"Campomanes Attack, Caro",e2e4 c7c6 d2d4 d7d5 b1c3 g8f6,
B12,"Modern Variation, Caro-Kann",e2e4 c7c6 d2d4 d7d5 b1d2,
B12,New Caro-Kann,e2e4 c7c6 d2d4 d7d5 b1d2 g7g6,
B12,"Edinburgh Variation, Caro",e2e4 c7c6 d2d4 d7d5 b1d2 d8b6,
B12,"Ulysses Gambit, Caro",e2e4 c7c6 d2d4 d7d5 g1f3 d5e4 f3g5,
B10,"Massachussets Defense, Caro-Kann",e2e4 c7c6 d2d4 f7f5,
B12,"De Bruycker Defense, Caro",e2e4 c7c6 d2d4 b8a6,
B10,"Masi Variation, Caro-Kann",e2e4 c7c6 d2d4 g8f6,
B11,B11,e2e4 c7c6 b1c3,
B10,"Scorpion-Horus Gambit, Caro-Kann",e2e4 c7c6 b1c3 d7d5 d2d3 d5e4 c1g5,
B11,"Two Knights Attack, Caro Kann",e2e4 c7c6 b1c3 d7d5 g1f3,
B11,"Mindeno Variation, Caro-Kann",e2e4 c7c6 b1c3 d7d5 g1f3 c8g4,
B11,"Retreat Line, Mindeno Variation, Caro-Kann",e2e4 c7c6 b1c3 d7d5 g1f3 c8g4 h2h3 g4h5,
B12,"Hector Gambit, Caro",e2e4 c7c6 b1c3 d7d5 g1f3 d5e4 f3g5,
B10,"Goldman Variation, Caro",e2e4 c7c6 b1c3 d7d5 d1f3,
B10,"Two Knights Variation, Caro",e2e4 c7c6 g1f3 d7d5 b1c3,
B01,Center Counter; Scandanavian; B01,e2e4 d7d5,
B01,"Zilbermints Gambit, Center Counter",e2e4 d7d5 b2b4,
B01,"Blackbunre-Kloosterboer Gambit, Center Counter",e2e4 d7d5 e4d5 c7c6 d5c6 e7e5,
B01,"Atkinson (Kloosterboer) Variation, Center Counter",e2e4 d7d5 e4d5 c7c6 d5c6 e7e5,
B01,"Blackburne Gambit, Center Counter",e2e4 d7d5 e4d5 c7c6 d5c6 b8c6,
B01,"Boehnke Gambit, Center Counter",e2e4 d7d5 e4d5 e7e5,
B01,"Boehnke Gambit Accepted, Center Counter",e2e4 d7d5 e4d5 e7e5 d5e6 c8e6,
B01,"Marshall Gambit, Scandanavian G; Modern Variation, CC",e2e4 d7d5 e4d5 g8f6,
B01,"Panov Transfer, Center Counter",e2e4 d7d5 e4d5 g8f6 c2c4 c7c6,
B01,"Icelandic-Palme Gambit, CC",e2e4 d7d5 e4d5 g8f6 c2c4 e7e6,
B01,"Portuguese Variation, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 c8g4,
B01,"Portuguese Gambit, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 f2f3 g4f5 f1b5 b8d7,
B01,"Kadas Gambit, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 c7c6 d5c6 e7e5,
B01,"Wing Gambit, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 g7g6 c2c4 b7b5,
B01,"Marshall Variation, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 f6d5,
B01,"Kiel Variation, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b4,
B01,"Tomalty Gambit, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5f6 b1c3 c7c5,
B01,"Gipslis Variation, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 c8g4,
B01,"Richter Variation, Center Counter",e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 g7g6,
B01,"Mieses-Kotroc Variation, Center Counter",e2e4 d7d5 e4d5 d8d5,
B01,"Leonhardt (Rosen) Gambit, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 b2b4,
B01,"Anderssen Variation, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5,
B01,"Collijn Variation, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 g1f3 c8g4,
B01,"Mieses Variation, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6,
B01,"Gruenfeld Variation, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8f5 f3e5 c7c6 g2g4,
B01,"Lasker Variation, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8g4 h2h3,
B01,"Gubinsky-Melts Defense, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5d6,
B01,"Schiller-Pytel Variation, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 c7c6,
B01,"Bronstein Variation, Center Counter",e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 g8f6 g1f3 a7a6,
B01,Closed Scandavian,e2e4 d7d5 b1c3,
B07,B07,e2e4 d7d6,
B07,"Maroczy Defense, Pirc",e2e4 d7d6 d2d4 e7e5,
B07,"Philidor Gambit, Pirc",e2e4 d7d6 d2d4 e7e5 d4e5 c8d7,
B07,Small Center Defense,e2e4 d7d6 d2d4 e7e6,
B07,"Balogh Defense, Pirc",e2e4 d7d6 d2d4 f7f5,
B07,Pirc Defense,e2e4 d7d6 d2d4 g8f6,
B07,"Lion's Jaw, Pirc",e2e4 d7d6 d2d4 g8f6 f2f3,
B07,Czech Defense,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6,
B07,Pirc; Ufimtsev; Antal Defense,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6,
B07,"Kholmov System, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1c4,
B07,"Classical System, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2,
B07,"Chinese Variation, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 g2g4,
B07,"Bayonet Attack, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 h2h4,
B07,"Sveshnikov-Jansa Attack, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 c7c6 h2h3,
B07,150 Attack,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 c7c6 d1d2,
B07,"Panov; Opatijav; Byrne Variation, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5,
B09,"Austrian Attack, Pirc; B09",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4,
B09,"Ljubojevic Variation, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 f1c4,
B09,"Austrian; Yugoslav Defense, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3,
B09,"Dragon Formation, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 c7c5,
B09,"Weiss Variation, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 f1d3,
B09,"Kurajica Variation, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 c1e3,
B09,"Unzicker Attack, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 e4e5,
B08,B08,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3,
B08,"Two Knights System, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7,
B08,"Quiet System, Pirc",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 f1e2,
